Age,1-Apr-10,,,,,,Population Estimate (as of July 1),,,,,,,,,,,,,,,,,,,,,,,
,Census,,,Estimates Base,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,
,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female
,,,,,,,,,,,,,,,,,,,"4,416,633","2,155,610","2,261,023","4,546,665","2,224,902","2,321,763","4,485,896","2,187,371","2,298,525","4,413,266","2,154,452","2,258,814"
,,,,,,,,,,,,,,,,,,,"4,390,423","2,137,886","2,252,537","4,391,484","2,139,150","2,252,334","4,520,972","2,208,073","2,312,899","4,461,346","2,171,286","2,290,060"
,,,,,,,,,,,,,,,,,,,"4,341,770","2,107,015","2,234,755","4,363,359","2,120,248","2,243,111","4,364,273","2,121,461","2,242,812","4,493,573","2,190,232","2,303,341"
,,,,,,,,,,,,,,,,,,,"4,186,598","2,025,009","2,161,589","4,312,945","2,088,311","2,224,634","4,334,230","2,101,350","2,232,880","4,335,891","2,102,988","2,232,903"
,,,,,,,,,,,,,,,,,,,"4,151,512","2,004,597","2,146,915","4,156,767","2,005,539","2,151,228","4,281,943","2,068,184","2,213,759","4,303,880","2,081,562","2,222,318"
,,,,,,,,,,,,,,,,,,,"3,981,755","1,911,768","2,069,987","4,119,957","1,984,070","2,135,887","4,124,852","1,984,757","2,140,095","4,249,921","2,047,375","2,202,546"
,,,,,,,,,,,,,,,,,,,"3,830,701","1,834,639","1,996,062","3,948,750","1,890,387","2,058,363","4,085,979","1,962,045","2,123,934","4,091,662","1,963,253","2,128,409"
,,,,,,,,,,,,,,,,,,,"3,682,166","1,760,990","1,921,176","3,796,367","1,812,578","1,983,789","3,913,573","1,867,782","2,045,791","4,050,159","1,938,979","2,111,180"
,,,,,,,,,,,,,,,,,,,"3,569,056","1,699,108","1,869,948","3,646,303","1,738,096","1,908,207","3,758,910","1,788,549","1,970,361","3,875,907","1,843,702","2,032,205"
,,,,,,,,,,,,,,,,,,,"3,485,992","1,659,437","1,826,555","3,531,786","1,675,627","1,856,159","3,607,574","1,713,526","1,894,048","3,720,053","1,763,974","1,956,079"
